Country Name,Country Code,Series Name,Series Code,2012 [YR2012]
Poland,POL,"Population, total",SP.POP.TOTL,38063164
Portugal,PRT,"Population, total",SP.POP.TOTL,10514844
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,1082722218
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,783505835
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3634488
Qatar,QAT,"Population, total",SP.POP.TOTL,2109568
Romania,ROU,"Population, total",SP.POP.TOTL,20058035
Russian Federation,RUS,"Population, total",SP.POP.TOTL,143201676
Rwanda,RWA,"Population, total",SP.POP.TOTL,10788853
Samoa,WSM,"Population, total",SP.POP.TOTL,189194
San Marino,SMR,"Population, total",SP.POP.TOTL,31914
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,182889
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,29086357
Senegal,SEN,"Population, total",SP.POP.TOTL,13703513
Serbia,SRB,"Population, total",SP.POP.TOTL,7199077
Seychelles,SYC,"Population, total",SP.POP.TOTL,88303
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,6766103
Singapore,SGP,"Population, total",SP.POP.TOTL,5312437
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,34640
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5407579
Slovenia,SVN,"Population, total",SP.POP.TOTL,2057159
Small states,SST,"Population, total",SP.POP.TOTL,36873246
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,551531
Somalia,SOM,"Population, total",SP.POP.TOTL,12763776
South Africa,ZAF,"Population, total",SP.POP.TOTL,52506515.0772335
South Asia,SAS,"Population, total",SP.POP.TOTL,1676614288
South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,1676614288
South Sudan,SSD,"Population, total",SP.POP.TOTL,10818258
Spain,ESP,"Population, total",SP.POP.TOTL,46773055
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,20425000
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,52591
St. Lucia,LCA,"Population, total",SP.POP.TOTL,174835
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,30959
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,109328
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,926548177.077234
Sub-Saharan Africa (excluding high income),SSA,"Population, total",SP.POP.TOTL,926459874.077234
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",SP.POP.TOTL,926548177.077234
Sudan,SDN,"Population, total",SP.POP.TOTL,35990192
Suriname,SUR,"Population, total",SP.POP.TOTL,537077
Swaziland,SWZ,"Population, total",SP.POP.TOTL,1248158
Sweden,SWE,"Population, total",SP.POP.TOTL,9519374
Switzerland,CHE,"Population, total",SP.POP.TOTL,7996861
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,20420701
Tajikistan,TJK,"Population, total",SP.POP.TOTL,7995062
Tanzania,TZA,"Population, total",SP.POP.TOTL,49082997
Thailand,THA,"Population, total",SP.POP.TOTL,67843979
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1156760
Togo,TGO,"Population, total",SP.POP.TOTL,6859482
Tonga,TON,"Population, total",SP.POP.TOTL,104951
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1341588
Tunisia,TUN,"Population, total",SP.POP.TOTL,10886668
Turkey,TUR,"Population, total",SP.POP.TOTL,74569867
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,5267839
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,32431
Tuvalu,TUV,"Population, total",SP.POP.TOTL,10725
Uganda,UGA,"Population, total",SP.POP.TOTL,36306796
Ukraine,UKR,"Population, total",SP.POP.TOTL,45593300
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,8900453
United Kingdom,GBR,"Population, total",SP.POP.TOTL,63700300
United States,USA,"Population, total",SP.POP.TOTL,313998379
Upper middle income,UMC,"Population, total",SP.POP.TOTL,2501989805.07723
Uruguay,URY,"Population, total",SP.POP.TOTL,3396777
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,29774500
Vanuatu,VUT,"Population, total",SP.POP.TOTL,247485
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,29893080
Vietnam,VNM,"Population, total",SP.POP.TOTL,88809200
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,105275
